"","loc","Number","Longitude","Latitude"
"1","10_26.2_127.333",10,127.333,26.2
"2","10_26.645_127.865",10,127.865,26.645
"3","106_-28.407_113.719",106,113.719,-28.407
"4","106_-28.435_113.743",106,113.743,-28.435
"5","106_-28.473_113.776",106,113.776,-28.473
"6","106_-28.48_113.784",106,113.784,-28.48
"7","106_-28.499_113.746",106,113.746,-28.499
"8","106_-28.65_113.88",106,113.88,-28.65
"9","106_-28.699_113.78",106,113.78,-28.699
"10","106_-28.716_113.789",106,113.789,-28.716
"11","106_-28.737_113.789",106,113.789,-28.737
"12","106_-28.74_113.809",106,113.809,-28.74
"13","106_-28.815_113.948",106,113.948,-28.815
"14","106_-28.862_113.988",106,113.988,-28.862
"15","106_-28.867_113.97",106,113.97,-28.867
"16","106_-28.869_113.877",106,113.877,-28.869
"17","106_-28.898_113.923",106,113.923,-28.898
"18","11_-0.244_122.158",11,122.158,-0.244
"19","112_-10.25_40.15",112,40.15,-10.25
"20","112_-2.3_40.85",112,40.85,-2.3
"21","112_-3.32_40.07",112,40.07,-3.32
"22","112_-4.02_39.73",112,39.73,-4.02
"23","112_-4.28_39.6",112,39.6,-4.28
"24","112_-4.72_39.35",112,39.35,-4.72
"25","112_-5.23_39.6",112,39.6,-5.23
"26","112_-6.12_39.18",112,39.18,-6.12
"27","112_-6.25_39.53",112,39.53,-6.25
"28","112_-6.63_39.22",112,39.22,-6.63
"29","112_-7.95_39.77",112,39.77,-7.95
"30","117_-10.838_122.7308",117,122.7308,-10.838
"31","117_-12.2378_122.9871",117,122.9871,-12.2378
"32","117_-5.0474_119.3243",117,119.3243,-5.0474
"33","117_-5.2675_123.5178",117,123.5178,-5.2675
"34","117_-8.2679_124.4009",117,124.4009,-8.2679
"35","118_-14.04_121.89",118,121.89,-14.04
"36","118_-17.33_119.17",118,119.17,-17.33
"37","139_-14.6689_145.4594",139,145.4594,-14.6689
"38","147_24.7994_125.3498",147,125.3498,24.7994
"39","147_26.506_128.0413",147,128.0413,26.506
"40","147_28.3319_129.5555",147,129.5555,28.3319
"41","147_30.4321_130.5762",147,130.5762,30.4321
"42","147_31.3501_131.2833",147,131.2833,31.3501
"43","147_31.4776_132.3874",147,132.3874,31.4776
"44","147_32.5545_129.9999",147,129.9999,32.5545
"45","147_32.5654_128.8991",147,128.8991,32.5654
"46","147_32.5989_128.8345",147,128.8345,32.5989
"47","147_32.7637_132.8607",147,132.8607,32.7637
"48","147_33.4743_135.7408",147,135.7408,33.4743
"49","147_33.6833_135.3365",147,135.3365,33.6833
"50","147_34.3601_139.2007",147,139.2007,34.3601
"51","16_-11.4411_143.0345",16,143.0345,-11.4411
"52","16_-13.1698_143.5812",16,143.5812,-13.1698
"53","16_-13.7789_143.6404",16,143.6404,-13.7789
"54","16_-15.6134_145.662",16,145.662,-15.6134
"55","16_-16.9955_146.2707",16,146.2707,-16.9955
"56","16_-17.0239_146.1722",16,146.1722,-17.0239
"57","16_-18.2657_147.3834",16,147.3834,-18.2657
"58","16_-18.5639_146.4994",16,146.4994,-18.5639
"59","16_-18.57_146.492",16,146.492,-18.57
"60","16_-18.6604_146.5117",16,146.5117,-18.6604
"61","16_-19.1686_146.8501",16,146.8501,-19.1686
"62","16_-19.1734_148.1166",16,148.1166,-19.1734
"63","16_-19.7302_148.3546",16,148.3546,-19.7302
"64","16_-19.8764_149.5628",16,149.5628,-19.8764
"65","16_-20.4804_150.2769",16,150.2769,-20.4804
"66","16_-20.7686_149.6153",16,149.6153,-20.7686
"67","16_-20.7709_150.4704",16,150.4704,-20.7709
"68","16_-21.2384_151.3893",16,151.3893,-21.2384
"69","16_-21.9584_150.6824",16,150.6824,-21.9584
"70","16_-23.0868_153.8904",16,153.8904,-23.0868
"71","19_-19.1686_146.8501",19,146.8501,-19.1686
"72","2_-19.176_146.809",2,146.809,-19.176
"73","35_-23.0651_150.9549",35,150.9549,-23.0651
"74","35_-23.0833_150.8928",35,150.8928,-23.0833
"75","35_-23.1173_150.991",35,150.991,-23.1173
"76","35_-23.1502_150.9005",35,150.9005,-23.1502
"77","35_-23.1535_150.9381",35,150.9381,-23.1535
"78","35_-23.1702_150.9292",35,150.9292,-23.1702
"79","35_-23.1977_150.9725",35,150.9725,-23.1977
"80","35_-23.2023_151.003",35,151.003,-23.2023
"81","35_-23.218_150.9721",35,150.9721,-23.218
"82","37_-18.5608_146.5",37,146.5,-18.5608
"83","37_-18.5703_146.4914",37,146.4914,-18.5703
"84","37_-18.6614_146.5111",37,146.5111,-18.6614
"85","38_26.1833_127.2667",38,127.2667,26.1833
"86","38_26.8333_128.2833",38,128.2833,26.8333
"87","4_26.1841_127.2747",4,127.2747,26.1841
"88","41_14.04_121.46",41,121.46,14.04
"89","505_16.1571_-61.5426",505,-61.5426,16.1571
"90","514_12.16_-69.06",514,-69.06,12.16
"91","514_16.04_-76.31",514,-76.31,16.04
"92","514_17.77_-64.64",514,-64.64,17.77
"93","514_25.06_-80.03",514,-80.03,25.06
"94","523_-21.1809_55.3324",523,55.3324,-21.1809
"95","528_11.794_-66.885",528,-66.885,11.794
"96","528_11.819_-66.931",528,-66.931,11.819
"97","528_16.753_-87.785",528,-87.785,16.753
"98","528_17.025_-88.012",528,-88.012,17.025
"99","528_17.279_-87.805",528,-87.805,17.279
"100","528_17.95_-67.067",528,-67.067,17.95
"101","528_17.999_-87.905",528,-87.905,17.999
"102","528_18.289_-87.825",528,-87.825,18.289
"103","528_18.35_-67.25",528,-67.25,18.35
"104","528_20.984_-86.8",528,-86.8,20.984
"105","528_9.267_-82.117",528,-82.117,9.267
"106","528_9.283_-82.267",528,-82.267,9.283
"107","55_12.22382_-68.40507",55,-68.40507,12.22382
"108","55_13.12848_-61.19932",55,-61.19932,13.12848
