"","observation_id","species","location_name","Colony.maximum.diameter"
"1",112801,"cytherea","Global estimate",300
"2",112802,"cytherea","Global estimate",300
"3",112803,"cytherea","Global estimate",300
"4",112811,"digitifera","Global estimate",100
"5",112822,"florida","Global estimate",1500
"6",112835,"horrida","Global estimate",200
"7",112836,"horrida","Global estimate",200
"8",112837,"hyacinthus","Global estimate",300
"9",112838,"hyacinthus","Global estimate",300
"10",112843,"jacquelineae","Global estimate",100
"11",112844,"jacquelineae","Global estimate",80
"12",112845,"jacquelineae","Global estimate",80
"13",112863,"microphthalma","Global estimate",200
"14",112865,"muricata","Global estimate",1000
"15",112869,"palmata","Global estimate",400
"16",112883,"pichoni","Global estimate",100
"17",112887,"pulchra","Global estimate",500
"18",112892,"sarmentosa","Global estimate",30
"19",112896,"solitaryensis","Global estimate",200
"20",112897,"solitaryensis","Global estimate",200
"21",112898,"solitaryensis","Global estimate",300
"22",112899,"solitaryensis","Global estimate",300
"23",112915,"valida","Global estimate",50
"24",112916,"valida","Global estimate",50
"25",112917,"walindii","Global estimate",100
"26",112920,"yongei","Global estimate",200
"27",114453,"cervicornis","Global estimate",111
