"","observation_id","species","location_name","Corallite.width.maximum"
"1",109440,"austera","Global estimate",1.5
"2",109454,"cervicornis","Global estimate",1.7
"3",109460,"cytherea","Global estimate",1
"4",109468,"digitifera","Global estimate",1.6
"5",109484,"florida","Global estimate",1.4
"6",109502,"horrida","Global estimate",1.5
"7",109506,"hyacinthus","Global estimate",1.1
"8",109512,"jacquelineae","Global estimate",0.5
"9",109516,"kimbeensis","Global estimate",0.6
"10",109518,"kirstyae","Global estimate",0.8
"11",109540,"microphthalma","Global estimate",1
"12",109542,"millepora","Global estimate",1.6
"13",109550,"muricata","Global estimate",1.2
"14",109556,"palmata","Global estimate",1.6
"15",109562,"papillare","Global estimate",1.6
"16",109566,"pichoni","Global estimate",0.9
"17",109576,"pulchra","Global estimate",1.2
"18",109584,"rongelapensis","Global estimate",0.8
"19",109594,"sarmentosa","Global estimate",2
"20",109602,"solitaryensis","Global estimate",1.1
"21",109604,"spathulata","Global estimate",1.5
"22",109608,"spicifera","Global estimate",1.1
"23",109628,"tenuis","Global estimate",1.2
"24",109632,"tortuosa","Global estimate",1.3
"25",109640,"valida","Global estimate",0.9
"26",109648,"walindii","Global estimate",0.5
"27",109652,"yongei","Global estimate",1.2
