"","observation_id","species","location_name","Corallite.width.minimum"
"1",109439,"austera","Global estimate",0.6
"2",109453,"cervicornis","Global estimate",1.1
"3",109459,"cytherea","Global estimate",0.7
"4",109467,"digitifera","Global estimate",0.6
"5",109483,"florida","Global estimate",0.7
"6",109501,"horrida","Global estimate",0.6
"7",109505,"hyacinthus","Global estimate",0.4
"8",109511,"jacquelineae","Global estimate",0.1
"9",109515,"kimbeensis","Global estimate",0.4
"10",109517,"kirstyae","Global estimate",0.2
"11",109539,"microphthalma","Global estimate",0.6
"12",109541,"millepora","Global estimate",0.4
"13",109549,"muricata","Global estimate",0.8
"14",109555,"palmata","Global estimate",0.7
"15",109561,"papillare","Global estimate",0.8
"16",109565,"pichoni","Global estimate",0.5
"17",109575,"pulchra","Global estimate",0.6
"18",109583,"rongelapensis","Global estimate",0.5
"19",109593,"sarmentosa","Global estimate",1
"20",109601,"solitaryensis","Global estimate",0.5
"21",109603,"spathulata","Global estimate",0.8
"22",109607,"spicifera","Global estimate",0.5
"23",109627,"tenuis","Global estimate",0.8
"24",109631,"tortuosa","Global estimate",1
"25",109639,"valida","Global estimate",0.5
"26",109647,"walindii","Global estimate",0.3
"27",109651,"yongei","Global estimate",0.8
