"","observation_id","species","location_name","Depth.lower"
"1",157103,"austera","Global estimate",20
"2",157111,"cervicornis","Global estimate",60
"3",157113,"cytherea","Global estimate",25
"4",157117,"digitifera","Global estimate",12
"5",157124,"florida","Global estimate",30
"6",157131,"horrida","Global estimate",20
"7",157133,"hyacinthus","Global estimate",20
"8",157136,"jacquelineae","Global estimate",35
"9",157137,"kimbeensis","Global estimate",15
"10",157138,"kirstyae","Global estimate",25
"11",157150,"microphthalma","Global estimate",25
"12",157151,"millepora","Global estimate",12
"13",157154,"muricata","Global estimate",30
"14",157156,"palmata","Global estimate",40
"15",157159,"papillare","Global estimate",5
"16",157161,"pichoni","Global estimate",70
"17",157164,"pulchra","Global estimate",20
"18",157172,"sarmentosa","Global estimate",20
"19",157176,"solitaryensis","Global estimate",25
"20",157177,"spathulata","Global estimate",10
"21",157179,"spicifera","Global estimate",10
"22",157186,"tenuis","Global estimate",20
"23",157187,"tortuosa","Global estimate",30
"24",157193,"walindii","Global estimate",30
"25",157195,"yongei","Global estimate",20
"26",157710,"rongelapensis","Global estimate",40
