"","observation_id","species","location_name","Depth.upper"
"1",158317,"austera","Global estimate",0.5
"2",158325,"cervicornis","Global estimate",0.5
"3",158327,"cytherea","Global estimate",3
"4",158331,"digitifera","Global estimate",0
"5",158338,"florida","Global estimate",5
"6",158345,"horrida","Global estimate",5
"7",158347,"hyacinthus","Global estimate",5
"8",158350,"jacquelineae","Global estimate",10
"9",158351,"kimbeensis","Global estimate",3
"10",158352,"kirstyae","Global estimate",10
"11",158364,"microphthalma","Global estimate",5
"12",158365,"millepora","Global estimate",2
"13",158368,"muricata","Global estimate",5
"14",158370,"palmata","Global estimate",0.1
"15",158373,"papillare","Global estimate",1
"16",158375,"pichoni","Global estimate",10
"17",158378,"pulchra","Global estimate",1
"18",158386,"sarmentosa","Global estimate",3
"19",158390,"solitaryensis","Global estimate",5
"20",158391,"spathulata","Global estimate",0
"21",158393,"spicifera","Global estimate",2
"22",158400,"tenuis","Global estimate",8
"23",158401,"tortuosa","Global estimate",1
"24",158407,"walindii","Global estimate",8
"25",158409,"yongei","Global estimate",5
"26",159103,"rongelapensis","Global estimate",20
