"","observation_id","species","Indo.Pacific.faunal.province","location_name"
"1",150075,"austera","Africa-India","Global estimate"
"2",150076,"austera","Andaman-Nicobar Islands","Global estimate"
"3",150077,"austera","Australian","Global estimate"
"4",150078,"austera","Fiji-Caroline Islands","Global estimate"
"5",150079,"austera","Indonesian","Global estimate"
"6",150080,"austera","Japan-Vietnam","Global estimate"
"7",150081,"austera","Polynesia","Global estimate"
"8",150082,"austera","Red Sea","Global estimate"
"9",150083,"austera","Tonga-Samoa","Global estimate"
"10",150173,"cytherea","Africa-India","Global estimate"
"11",150174,"cytherea","Andaman-Nicobar Islands","Global estimate"
"12",150175,"cytherea","Australian","Global estimate"
"13",150176,"cytherea","Fiji-Caroline Islands","Global estimate"
"14",150177,"cytherea","Hawaii-Line Islands","Global estimate"
"15",150178,"cytherea","Indonesian","Global estimate"
"16",150179,"cytherea","Japan-Vietnam","Global estimate"
"17",150180,"cytherea","Polynesia","Global estimate"
"18",150181,"cytherea","Red Sea","Global estimate"
"19",150182,"cytherea","Tonga-Samoa","Global estimate"
"20",150195,"digitifera","Africa-India","Global estimate"
"21",150196,"digitifera","Andaman-Nicobar Islands","Global estimate"
"22",150197,"digitifera","Australian","Global estimate"
"23",150198,"digitifera","Fiji-Caroline Islands","Global estimate"
"24",150199,"digitifera","Indonesian","Global estimate"
"25",150200,"digitifera","Japan-Vietnam","Global estimate"
"26",150201,"digitifera","Polynesia","Global estimate"
"27",150202,"digitifera","Red Sea","Global estimate"
"28",150203,"digitifera","Tonga-Samoa","Global estimate"
"29",150257,"florida","Africa-India","Global estimate"
"30",150258,"florida","Andaman-Nicobar Islands","Global estimate"
"31",150259,"florida","Australian","Global estimate"
"32",150260,"florida","Fiji-Caroline Islands","Global estimate"
"33",150261,"florida","Indonesian","Global estimate"
"34",150262,"florida","Japan-Vietnam","Global estimate"
"35",150263,"muricata","Africa-India","Global estimate"
"36",150264,"muricata","Andaman-Nicobar Islands","Global estimate"
"37",150265,"muricata","Australian","Global estimate"
"38",150266,"muricata","Fiji-Caroline Islands","Global estimate"
"39",150267,"muricata","Indonesian","Global estimate"
"40",150268,"muricata","Japan-Vietnam","Global estimate"
"41",150269,"muricata","Polynesia","Global estimate"
"42",150270,"muricata","Red Sea","Global estimate"
"43",150271,"muricata","Tonga-Samoa","Global estimate"
"44",150321,"horrida","Africa-India","Global estimate"
"45",150322,"horrida","Andaman-Nicobar Islands","Global estimate"
"46",150323,"horrida","Australian","Global estimate"
"47",150324,"horrida","Fiji-Caroline Islands","Global estimate"
"48",150325,"horrida","Indonesian","Global estimate"
"49",150326,"horrida","Japan-Vietnam","Global estimate"
"50",150327,"horrida","Persian Gulf","Global estimate"
"51",150328,"horrida","Polynesia","Global estimate"
"52",150329,"horrida","Red Sea","Global estimate"
"53",150330,"horrida","Tonga-Samoa","Global estimate"
"54",150341,"hyacinthus","Africa-India","Global estimate"
"55",150342,"hyacinthus","Andaman-Nicobar Islands","Global estimate"
"56",150343,"hyacinthus","Australian","Global estimate"
"57",150344,"hyacinthus","Fiji-Caroline Islands","Global estimate"
"58",150345,"hyacinthus","Hawaii-Line Islands","Global estimate"
"59",150346,"hyacinthus","Indonesian","Global estimate"
"60",150347,"hyacinthus","Japan-Vietnam","Global estimate"
"61",150348,"hyacinthus","Polynesia","Global estimate"
"62",150349,"hyacinthus","Tonga-Samoa","Global estimate"
"63",150370,"jacquelineae","Australian","Global estimate"
"64",150371,"jacquelineae","Indonesian","Global estimate"
"65",150373,"kimbeensis","Australian","Global estimate"
"66",150374,"kimbeensis","Indonesian","Global estimate"
"67",150375,"kimbeensis","Japan-Vietnam","Global estimate"
"68",150376,"kirstyae","Australian","Global estimate"
"69",150377,"kirstyae","Fiji-Caroline Islands","Global estimate"
"70",150378,"kirstyae","Indonesian","Global estimate"
"71",150379,"kirstyae","Japan-Vietnam","Global estimate"
"72",150380,"kirstyae","Tonga-Samoa","Global estimate"
"73",150456,"microphthalma","Africa-India","Global estimate"
"74",150457,"microphthalma","Andaman-Nicobar Islands","Global estimate"
"75",150458,"microphthalma","Australian","Global estimate"
"76",150459,"microphthalma","Fiji-Caroline Islands","Global estimate"
"77",150460,"microphthalma","Indonesian","Global estimate"
"78",150461,"microphthalma","Japan-Vietnam","Global estimate"
"79",150462,"microphthalma","Polynesia","Global estimate"
"80",150463,"microphthalma","Red Sea","Global estimate"
"81",150464,"microphthalma","Tonga-Samoa","Global estimate"
"82",150465,"millepora","Africa-India","Global estimate"
"83",150466,"millepora","Andaman-Nicobar Islands","Global estimate"
"84",150467,"millepora","Australian","Global estimate"
"85",150468,"millepora","Fiji-Caroline Islands","Global estimate"
"86",150469,"millepora","Indonesian","Global estimate"
"87",150470,"millepora","Japan-Vietnam","Global estimate"
"88",150471,"millepora","Tonga-Samoa","Global estimate"
"89",150548,"papillare","Australian","Global estimate"
"90",150549,"papillare","Indonesian","Global estimate"
"91",150550,"papillare","Japan-Vietnam","Global estimate"
"92",150563,"pichoni","Australian","Global estimate"
"93",150564,"pichoni","Fiji-Caroline Islands","Global estimate"
"94",150565,"pichoni","Indonesian","Global estimate"
"95",150566,"pichoni","Japan-Vietnam","Global estimate"
"96",150595,"pulchra","Africa-India","Global estimate"
"97",150596,"pulchra","Andaman-Nicobar Islands","Global estimate"
"98",150597,"pulchra","Australian","Global estimate"
"99",150598,"pulchra","Fiji-Caroline Islands","Global estimate"
"100",150599,"pulchra","Indonesian","Global estimate"
"101",150600,"pulchra","Japan-Vietnam","Global estimate"
"102",150601,"pulchra","Polynesia","Global estimate"
"103",150602,"pulchra","Red Sea","Global estimate"
"104",150603,"pulchra","Tonga-Samoa","Global estimate"
"105",150650,"sarmentosa","Australian","Global estimate"
"106",150651,"sarmentosa","Fiji-Caroline Islands","Global estimate"
"107",150652,"sarmentosa","Indonesian","Global estimate"
"108",150653,"sarmentosa","Japan-Vietnam","Global estimate"
"109",150654,"sarmentosa","Polynesia","Global estimate"
"110",150655,"sarmentosa","Tonga-Samoa","Global estimate"
"111",150693,"solitaryensis","Australian","Global estimate"
"112",150694,"solitaryensis","Fiji-Caroline Islands","Global estimate"
"113",150695,"solitaryensis","Indonesian","Global estimate"
"114",150696,"solitaryensis","Japan-Vietnam","Global estimate"
"115",150697,"solitaryensis","Tonga-Samoa","Global estimate"
"116",150704,"spicifera","Africa-India","Global estimate"
"117",150705,"spicifera","Australian","Global estimate"
"118",150706,"spicifera","Fiji-Caroline Islands","Global estimate"
"119",150707,"spicifera","Indonesian","Global estimate"
"120",150708,"spicifera","Japan-Vietnam","Global estimate"
"121",150709,"spicifera","Red Sea","Global estimate"
"122",150710,"spicifera","Tonga-Samoa","Global estimate"
"123",150747,"tenuis","Africa-India","Global estimate"
"124",150748,"tenuis","Andaman-Nicobar Islands","Global estimate"
"125",150749,"tenuis","Australian","Global estimate"
"126",150750,"tenuis","Fiji-Caroline Islands","Global estimate"
"127",150751,"tenuis","Indonesian","Global estimate"
"128",150752,"tenuis","Japan-Vietnam","Global estimate"
"129",150753,"tenuis","Persian Gulf","Global estimate"
"130",150754,"tenuis","Polynesia","Global estimate"
"131",150755,"tenuis","Red Sea","Global estimate"
"132",150756,"tenuis","Tonga-Samoa","Global estimate"
"133",150769,"tortuosa","Australian","Global estimate"
"134",150770,"tortuosa","Fiji-Caroline Islands","Global estimate"
"135",150771,"tortuosa","Indonesian","Global estimate"
"136",150772,"tortuosa","Polynesia","Global estimate"
"137",150773,"tortuosa","Tonga-Samoa","Global estimate"
"138",150795,"valida","Africa-India","Global estimate"
"139",150796,"valida","Andaman-Nicobar Islands","Global estimate"
"140",150797,"valida","Australian","Global estimate"
"141",150798,"valida","Fiji-Caroline Islands","Global estimate"
"142",150799,"valida","Hawaii-Line Islands","Global estimate"
