"","observation_id","species","Northern.most.range.edge","location_name"
"1",91873,"austera",31.1205428,"Global estimate"
"2",91973,"cytherea",31.5524021,"Global estimate"
"3",91993,"digitifera",31.07171053,"Global estimate"
"4",92063,"florida",39.11127704,"Global estimate"
"5",92068,"muricata",30.79839055,"Global estimate"
"6",92123,"horrida",31.33912402,"Global estimate"
"7",92133,"hyacinthus",38.84118034,"Global estimate"
"8",92163,"kimbeensis",26.47399752,"Global estimate"
"9",92168,"kirstyae",29.93525055,"Global estimate"
"10",92253,"microphthalma",31.09195129,"Global estimate"
"11",92258,"millepora",30.10207607,"Global estimate"
"12",92333,"papillare",23.37363392,"Global estimate"
"13",92363,"pichoni",27.96972482,"Global estimate"
"14",92408,"pulchra",29.43212122,"Global estimate"
"15",92458,"sarmentosa",27.8519369,"Global estimate"
"16",92498,"solitaryensis",38.74212966,"Global estimate"
"17",92508,"spicifera",30.62247535,"Global estimate"
"18",92553,"tenuis",32.5024823,"Global estimate"
"19",92583,"tortuosa",1.992394592,"Global estimate"
"20",92608,"valida",37.4484897,"Global estimate"
"21",92638,"walindii",20.20095542,"Global estimate"
"22",92648,"yongei",28.48792041,"Global estimate"
