"","observation_id","species","Southern.most.range.edge","location_name"
"1",91875,"austera",-34.58104986,"Global estimate"
"2",91975,"cytherea",-34.0466021,"Global estimate"
"3",91995,"digitifera",-33.4223934,"Global estimate"
"4",92065,"florida",-34.58104986,"Global estimate"
"5",92070,"muricata",-34.54927646,"Global estimate"
"6",92125,"horrida",-34.35389682,"Global estimate"
"7",92135,"hyacinthus",-35.55462518,"Global estimate"
"8",92165,"kimbeensis",-24.8542443,"Global estimate"
"9",92170,"kirstyae",-25.18305853,"Global estimate"
"10",92255,"microphthalma",-34.54614228,"Global estimate"
"11",92260,"millepora",-33.76695321,"Global estimate"
"12",92335,"papillare",-29.33254727,"Global estimate"
"13",92365,"pichoni",-24.32735701,"Global estimate"
"14",92410,"pulchra",-32.87368007,"Global estimate"
"15",92460,"sarmentosa",-34.84430478,"Global estimate"
"16",92500,"solitaryensis",-35.5092599,"Global estimate"
"17",92510,"spicifera",-33.99094822,"Global estimate"
"18",92555,"tenuis",-35.53327447,"Global estimate"
"19",92585,"tortuosa",-32.80059409,"Global estimate"
"20",92610,"valida",-34.28650432,"Global estimate"
"21",92640,"walindii",-23.75891047,"Global estimate"
"22",92650,"yongei",-33.9000708,"Global estimate"
