"","observation_id","species","Wave.exposure.preference","location_name"
"1",1674,"austera","exposed","Global estimate"
"2",2582,"cervicornis","protected","Global estimate"
"3",3260,"cytherea","broad","Global estimate"
"4",3567,"digitifera","exposed","Global estimate"
"5",4599,"florida","broad","Global estimate"
"6",4684,"muricata","protected","Global estimate"
"7",5575,"horrida","protected","Global estimate"
"8",5779,"hyacinthus","exposed","Global estimate"
"9",5827,"papillare","broad","Global estimate"
"10",6134,"jacquelineae","protected","Global estimate"
"11",6308,"kimbeensis","broad","Global estimate"
"12",6387,"kirstyae","broad","Global estimate"
"13",7669,"microphthalma","broad","Global estimate"
"14",7764,"millepora","broad","Global estimate"
"15",8795,"palmata","exposed","Global estimate"
"16",9442,"pichoni","protected","Global estimate"
"17",10138,"pulchra","protected","Global estimate"
"18",10446,"rongelapensis","protected","Global estimate"
"19",10942,"sarmentosa","broad","Global estimate"
"20",11510,"solitaryensis","broad","Global estimate"
"21",11631,"spathulata","exposed","Global estimate"
"22",11761,"spicifera","broad","Global estimate"
"23",12496,"tenuis","exposed","Global estimate"
"24",12907,"tortuosa","protected","Global estimate"
"25",13281,"valida","broad","Global estimate"
"26",13702,"walindii","protected","Global estimate"
"27",13935,"yongei","exposed","Global estimate"
