"","observation_id","species","Western.most.range.edge","location_name"
"1",91872,"austera",27.2842283,"Global estimate"
"2",91972,"cytherea",26.7310514,"Global estimate"
"3",91992,"digitifera",25.7482316,"Global estimate"
"4",92062,"florida",26.1744041,"Global estimate"
"5",92067,"muricata",26.228377,"Global estimate"
"6",92122,"horrida",24.9157011,"Global estimate"
"7",92132,"hyacinthus",25.4743655,"Global estimate"
"8",92162,"kimbeensis",93.749034,"Global estimate"
"9",92167,"kirstyae",94.362003,"Global estimate"
"10",92252,"microphthalma",27.5522103,"Global estimate"
"11",92257,"millepora",39.3312347,"Global estimate"
"12",92332,"papillare",93.5767915,"Global estimate"
"13",92362,"pichoni",95.1621592,"Global estimate"
"14",92407,"pulchra",36.2047787,"Global estimate"
"15",92457,"sarmentosa",94.0935188,"Global estimate"
"16",92497,"solitaryensis",94.2276691,"Global estimate"
"17",92507,"spicifera",31.3066643,"Global estimate"
"18",92552,"tenuis",27.0912166,"Global estimate"
"19",92582,"tortuosa",111.1382139,"Global estimate"
"20",92607,"valida",25.8951254,"Global estimate"
"21",92637,"walindii",94.972677,"Global estimate"
"22",92647,"yongei",38.5584875,"Global estimate"
