"","Reviewer","Number","Authors","Title","Pub.year","URL","Species","Site","Latitude","Longitude","Loc.method","Month","Sample.year","Primer.note","Locus","Cross.species","Sample.Size","loc","Ocean","He.all","adj.He"
"1","RB",2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,"https://academic.oup.com/jhered/article-abstract/100/3/329/867007","Acropora millepora","MI",-19.176,146.809,"estimate","November",2007,TRUE,"EST007 ",FALSE,24,"2_-19.176_146.809","Pacific",0.47,0.489290778014116
"2","RB",2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,"https://academic.oup.com/jhered/article-abstract/100/3/329/867008","Acropora millepora","MI",-19.176,146.809,"estimate","November",2007,TRUE,"EST014 ",FALSE,24,"2_-19.176_146.809","Pacific",0.88,1.075862200454
"3","RB",2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,"https://academic.oup.com/jhered/article-abstract/100/3/329/867009","Acropora millepora","MI",-19.176,146.809,"estimate","November",2007,TRUE,"EST016 ",FALSE,24,"2_-19.176_146.809","Pacific",0.69,0.761489052747633
"4","RB",2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,"https://academic.oup.com/jhered/article-abstract/100/3/329/867010","Acropora millepora","MI",-19.176,146.809,"estimate","November",2007,TRUE,"EST032 ",FALSE,24,"2_-19.176_146.809","Pacific",0.94,1.22263030552194
"5","RB",2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,"https://academic.oup.com/jhered/article-abstract/100/3/329/867011","Acropora millepora","MI",-19.176,146.809,"estimate","November",2007,TRUE,"EST043 ",FALSE,24,"2_-19.176_146.809","Pacific",0.75,0.848062078981481
"6","RB",2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,"https://academic.oup.com/jhered/article-abstract/100/3/329/867012","Acropora millepora","MI",-19.176,146.809,"estimate","November",2007,TRUE,"EST062 ",FALSE,24,"2_-19.176_146.809","Pacific",0.71,0.789498209346172
"7","RB",2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,"https://academic.oup.com/jhered/article-abstract/100/3/329/867013","Acropora millepora","MI",-19.176,146.809,"estimate","November",2007,TRUE,"EST063 ",FALSE,24,"2_-19.176_146.809","Pacific",0.42,0.433445320069886
"8","RB",2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,"https://academic.oup.com/jhered/article-abstract/100/3/329/867014","Acropora millepora","MI",-19.176,146.809,"estimate","November",2007,TRUE,"EST097 ",FALSE,24,"2_-19.176_146.809","Pacific",0.69,0.761489052747633
"9","RB",2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,"https://academic.oup.com/jhered/article-abstract/100/3/329/867015","Acropora millepora","MI",-19.176,146.809,"estimate","November",2007,TRUE,"EST098 ",FALSE,24,"2_-19.176_146.809","Pacific",0.68,0.747762634659921
"10","RB",2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,"https://academic.oup.com/jhered/article-abstract/100/3/329/867016","Acropora millepora","MI",-19.176,146.809,"estimate","November",2007,TRUE,"EST121 ",FALSE,24,"2_-19.176_146.809","Pacific",0.51,0.5351847902756
"11","RB",2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,"https://academic.oup.com/jhered/article-abstract/100/3/329/867017","Acropora millepora","MI",-19.176,146.809,"estimate","November",2007,TRUE,"EST122 ",FALSE,24,"2_-19.176_146.809","Pacific",0.91,1.14328406185003
