Reviewer,Number,Authors,Title,Pub.year,URL,Species,Site,Latitude,Longitude,Loc.method,Month,Sample.year,Primer.note,Locus,Cross.species,He,Ho,A,Fis,He.mean,Ho.mean,A.mean,Fis.mean,He.sd,Ho.sd,A.sd,Fis.sd,Sample.Size,Notes,,,,,,,,
MK,1193,"M Schweinsberg, LC Weiss, S Striewski…",More than one genotype: how common is intracolonial genetic variability in scleractinian corals?,2015,https://onlinelibrary.wiley.com/doi/abs/10.1111/mec.13200,Porites australiensis,"Lizard Island, Queensland, Austrailia",-14,145,given,December,2010,FALSE,PAGA24,FALSE,0.582,0.25,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,Sampled in December 2010 and 2011,,,,,,,,
MK,1193,"M Schweinsberg, LC Weiss, S Striewski…",More than one genotype: how common is intracolonial genetic variability in scleractinian corals?,2015,https://onlinelibrary.wiley.com/doi/abs/10.1111/mec.13201,Porites australiensis,"Lizard Island, Queensland, Austrailia",-14,145,given,January,2011,FALSE,PL0708,FALSE,0.776,0.875,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,,,,,,,,,
MK,1193,"M Schweinsberg, LC Weiss, S Striewski…",More than one genotype: how common is intracolonial genetic variability in scleractinian corals?,2015,https://onlinelibrary.wiley.com/doi/abs/10.1111/mec.13202,Porites australiensis,"Lizard Island, Queensland, Austrailia",-14,145,given,February,2012,FALSE,PL0905,FALSE,0.734,0.458,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,,,,,,,,,
MK,1193,"M Schweinsberg, LC Weiss, S Striewski…",More than one genotype: how common is intracolonial genetic variability in scleractinian corals?,2015,https://onlinelibrary.wiley.com/doi/abs/10.1111/mec.13203,Porites australiensis,"Lizard Island, Queensland, Austrailia",-14,145,given,March,2013,FALSE,PL1370,FALSE,0.83,0.708,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,,,,,,,,,
MK,1193,"M Schweinsberg, LC Weiss, S Striewski…",More than one genotype: how common is intracolonial genetic variability in scleractinian corals?,2015,https://onlinelibrary.wiley.com/doi/abs/10.1111/mec.13204,Porites australiensis,"Lizard Island, Queensland, Austrailia",-14,145,given,April,2014,FALSE,PL1551,FALSE,0.946,0.458,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,,,,,,,,,
MK,1193,"M Schweinsberg, LC Weiss, S Striewski…",More than one genotype: how common is intracolonial genetic variability in scleractinian corals?,2015,https://onlinelibrary.wiley.com/doi/abs/10.1111/mec.13205,Porites australiensis,"Lizard Island, Queensland, Austrailia",-14,145,given,May,2015,FALSE,PL1629,FALSE,0.896,0.652,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,,,,,,,,,
MK,1193,"M Schweinsberg, LC Weiss, S Striewski…",More than one genotype: how common is intracolonial genetic variability in scleractinian corals?,2015,https://onlinelibrary.wiley.com/doi/abs/10.1111/mec.13206,Porites australiensis,"Lizard Island, Queensland, Austrailia",-14,145,given,June,2016,FALSE,PL2069,FALSE,0.717,0.25,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,,,,,,,,,
MK,1193,"M Schweinsberg, LC Weiss, S Striewski…",More than one genotype: how common is intracolonial genetic variability in scleractinian corals?,2015,https://onlinelibrary.wiley.com/doi/abs/10.1111/mec.13207,Porites australiensis,"Lizard Island, Queensland, Austrailia",-14,145,given,July,2017,FALSE,PL2258,FALSE,0.508,0.541,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,,,,,,,,,
MK,1148,"F Li, D Chen, Y Li, S Li, J Hou, D Wang…",Development of Microsatellite Markers for the Hermatypic Coral Porites lutea,2020,http://www.aquapublisher.com/index.php/ijms/article/view/3754,Porites lutea,"Basuo Reef, Dongfang City",19,108,given,NA,NA,TRUE,plo7,FALSE,0.75,0.75,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,,,,,,,,,
MK,1148,"F Li, D Chen, Y Li, S Li, J Hou, D Wang…",Development of Microsatellite Markers for the Hermatypic Coral Porites lutea,2020,http://www.aquapublisher.com/index.php/ijms/article/view/3755,Porites lutea,"Basuo Reef, Dongfang City",19,108,given,NA,NA,TRUE,plo10,FALSE,0.63,0.06,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,,,,,,,,,
